Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
230,Ethiopia (Former),85,87,92,104,114,110,118,132,139,150,156,160,160,170,195,221,223,231,218,216,225,249,195,139,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,424,465,584,769,989,1.188,1.185,1.204,1.363,1.643,1.897,1.901,1.789,1.641,1.684,1.605,1.799,1.634,1.538,1.734,1.838,1.884,2.062,2.171,2.388,2.570,2.695,2.678,2.099,2.442,2.105,2.066,2.289,2.871,3.374,3.627,3.718,4.047,4.177,3.369,3.652,4.353,4.547,4.763,5.062,4.890,5.197
246,Finland,2.444,2.685,3.146,4.134,5.256,6.218,6.699,7.034,7.607,9.300,11.213,10.913,10.926,10.492,10.827,11.385,14.925,18.528,21.992,23.921,28.326,25.474,22.325,17.598,20.270,26.215,25.716,24.618,25.935,26.125,24.198,24.853,26.769,32.726,37.537,38.873,41.031,48.201,53.338,47.071,46.181,50.782,47.424,49.660,49.931,42.401,43.339
530,Former Netherlands Antilles,1.490,1.597,1.794,1.992,2.485,2.928,3.264,3.683,4.485,5.306,5.857,6.697,7.092,6.976,6.965,7.024,9.030,9.364,9.643,10.765,11.302,11.814,12.361,13.174,14.196,14.734,15.575,16.272,16.685,16.806,17.426,17.865,18.222,18.830,19.322,18.852,19.559,20.253,21.422,21.115,21.290,20.967,21.310,,,,
250,France,2.862,3.174,3.857,4.966,5.318,6.673,6.846,7.513,9.246,11.168,12.709,11.107,10.502,10.002,9.430,9.773,13.554,16.319,17.691,17.699,21.789,21.681,23.828,22.396,23.491,26.853,26.800,24.132,24.835,24.535,22.262,22.364,24.142,29.567,33.787,34.843,36.539,41.597,45.391,41.577,40.629,43.718,40.754,42.494,42.924,36.504,36.826
258,French Polynesia,2.379,2.687,2.855,3.646,4.542,5.468,6.004,6.268,7.695,9.281,10.271,9.328,9.104,9.185,9.215,9.795,14.553,15.656,15.478,15.253,17.986,18.236,19.446,18.219,18.548,20.542,19.429,18.208,18.583,18.032,15.835,15.306,16.046,19.809,22.056,22.374,22.778,25.413,27.008,24.694,22.704,22.961,20.954,22.046,22.399,19.026,19.335
266,Gabon,695,803,889,1.465,3.071,4.206,5.741,5.241,4.356,5.393,7.435,6.543,5.975,5.458,5.580,5.589,5.149,4.904,4.781,5.004,6.343,6.147,6.196,5.833,4.406,5.081,5.689,5.210,4.281,4.299,4.611,4.105,4.174,4.937,5.750,6.827,7.142,8.353,10.094,7.367,7.854,10.005,9.089,9.370,9.283,7.077,7.002
270,Gambia,215,220,277,458,580,675,603,619,715,761,834,854,827,787,740,894,580,618,740,736,772,727,729,749,720,737,773,712,724,682,636,541,441,360,414,432,439,519,608,549,563,518,506,486,443,475,484
268,Georgia,,,,,,,,,,,,,,,,,,,,,1.563,1.279,736,543,506,539,619,719,749,587,648,689,734,872,1.131,1.429,1.745,2.317,2.948,2.511,2.750,3.461,3.858,3.989,4.135,3.541,3.651
276,Germany,2.737,3.161,3.785,5.028,5.621,6.197,6.571,7.601,9.386,11.191,12.091,10.207,9.925,9.870,9.296,9.390,13.391,16.569,17.815,17.706,22.308,23.401,26.525,25.689,27.257,31.898,30.748,27.223,27.524,26.999,23.929,23.924,25.477,30.674,34.502,35.035,36.820,42.287,46.252,42.213,42.241,46.429,43.717,46.176,47.744,41.313,42.456
288,Ghana,413,439,373,339,384,359,358,383,437,453,484,497,475,455,495,519,541,565,601,591,682,746,714,602,534,618,647,627,665,669,422,439,496,598,678,798,923,1.091,1.224,1.087,1.313,1.575,1.630,1.815,1.450,1.354,1.517
300,Greece,1.517,1.674,1.925,2.528,2.843,3.167,3.415,3.908,4.712,5.722,5.900,5.381,5.570,5.009,4.840,4.794,5.625,6.520,7.538,7.781,9.552,10.167,11.120,10.295,10.913,12.687,13.405,13.060,13.094,13.449,11.822,12.177,13.715,17.958,21.342,21.925,24.103,27.984,31.041,28.835,26.154,25.195,21.591,21.187,21.042,17.431,17.230
